,time,Latency
1189,1561635540,553123.1809934644
1190,1561636440,731666.1989284989
1191,1561637340,729220.5038836694
1192,1561638240,471262.00895888306
1193,1561639140,479928.9962141642
1194,1561640040,469132.7530505833
1195,1561640940,485596.8249890023
1196,1561641840,471361.6092848794
1197,1561642740,463449.1265906979
1198,1561643640,488379.33288242586
1199,1561644540,455792.19881630474
1200,1561645440,473638.4168158413
1201,1561646340,439527.5826763456
1202,1561647240,422420.74652657023
1203,1561648140,415072.3354717382
1204,1561649040,383203.608977207
1205,1561649940,372419.4569438018
1206,1561650840,321986.24239256134
1207,1561651740,358075.78467396175
1208,1561652640,392193.8793493937
1209,1561653540,441278.0448872619
1210,1561654440,537268.7670125597
1211,1561655340,676180.0021761211
1212,1561656240,650180.1187751673
1213,1561657140,665081.919502348
1214,1561658040,677904.8749953796
1215,1561658940,790031.376602945
1216,1561659840,758499.5405588297
1217,1561660740,709631.4577508845
1218,1561661640,683947.6875046175
1219,1561662540,739755.554279205
1220,1561663440,699460.3555162624
1221,1561664340,728613.5714003104
1222,1561665240,669766.0323006993
1223,1561666140,694889.9146254119
1224,1561667040,607707.179387789
1225,1561667940,622044.3965825886
1226,1561668840,565178.6403845135
1227,1561669740,548729.2234286374
1228,1561670640,530314.9409091835
1229,1561671540,513983.8860368036
1230,1561672440,473612.5168363426
1231,1561673340,484992.76630264556
1232,1561674240,479201.8803859416
1233,1561675140,484932.40534393187
1234,1561676040,474321.6397779928
1235,1561676940,508702.49807637313
1236,1561677840,534018.4823818721
1237,1561678740,544350.4482179164
1238,1561679640,578814.6156773617
1239,1561680540,657592.4150304575
1240,1561681440,647345.3136592055
1241,1561682340,650823.8265578388
1242,1561683240,682644.3852693364
1243,1561684140,706929.4640258619
1244,1561685040,687732.8379454301
1245,1561685940,725929.5658202228
1246,1561686840,793496.9018565874
1247,1561687740,811317.4023711745
1248,1561688640,729609.4136104902
1249,1561689540,702584.3220827106
1250,1561690440,692003.4258944703
1251,1561691340,514012.95929147035
1252,1561692240,476963.8357270177
1253,1561693140,531581.9011462282
1254,1561694040,640932.4214499559
1255,1561694940,658135.0731652629
1256,1561695840,461224.26582005713
1257,1561696740,444223.4212227046
1258,1561697640,437626.996092965
1259,1561698540,452095.9577654119
1260,1561699440,455012.5012542288
1261,1561700340,450610.4674898347
1262,1561701240,479152.69040192995
1263,1561702140,477508.7833258708
1264,1561703040,477359.39976848883
1265,1561703940,455500.300210624
1266,1561704840,458171.1096653103
1267,1561705740,469593.13247999235
1268,1561706640,506647.8218956184
1269,1561707540,453214.53551136114
1270,1561708440,488460.12397457595
1271,1561709340,464139.2672158852
1272,1561710240,508782.6389470893
1273,1561711140,481502.12443819916
1274,1561712040,491369.33205604495
1275,1561712940,484373.3025484079
1276,1561713840,473845.7029364284
1277,1561714740,474758.32383109495
1278,1561715640,502916.64275835804
1279,1561716540,482130.52009184816
1280,1561717440,482659.3676678049
1281,1561718340,468108.57933280594
1282,1561719240,466153.0662716062
1283,1561720140,490886.30657339364
1284,1561721040,478128.83884312003
1285,1561721940,465331.7692793314
1286,1561722840,478365.772950265
1287,1561723740,492263.360652053
1288,1561724640,495204.15550357883
1289,1561725540,465831.380143427
1290,1561726440,456815.1351209199
1291,1561727340,476447.1143603345
1292,1561728240,479658.29258432833
1293,1561729140,482323.2100685003
1294,1561730040,471020.4140100051
1295,1561730940,467348.93367293285
1296,1561731840,468384.37541098613
1297,1561732740,444422.1767712779
1298,1561733640,431034.2290092257
1299,1561734540,411340.2215960692
1300,1561735440,401833.66979494906
1301,1561736340,376114.47690701333
1302,1561737240,302597.1035819598
1303,1561738140,367590.7177439042
1304,1561739040,557145.7859556599
1305,1561739940,435841.9576478753
1306,1561740840,514855.7367413636
1307,1561741740,633908.5243603017
1308,1561742640,633911.9906950347
1309,1561743540,627811.3715495643
1310,1561744440,670223.3406681373
1311,1561745340,745661.3058103294
1312,1561746240,728563.2570087005
1313,1561747140,678534.6534021609
1314,1561748040,658855.5267378197
1315,1561748940,697340.4223026697
1316,1561749840,713896.6394337709
1317,1561750740,694393.4719409231
1318,1561751640,701951.1240401648
1319,1561752540,675474.0406642698
1320,1561753440,642599.8101832765
1321,1561754340,619841.4244304033
1322,1561755240,579055.0421067061
1323,1561756140,584935.9588393073
1324,1561757040,556106.5501930775
1325,1561757940,525949.8329921522
1326,1561758840,470794.72155041154
1327,1561759740,517828.611422292
1328,1561760640,507855.88855869084
1329,1561761540,492437.2137316616
1330,1561762440,490528.3123396246
1331,1561763340,527872.5746563624
1332,1561764240,520961.8800723952
1333,1561765140,524916.3024087275
1334,1561766040,551733.8250464619
1335,1561766940,633495.1211896583
1336,1561767840,624031.1667587303
1337,1561768740,634292.864265824
1338,1561769640,648781.2444122974
1339,1561770540,716764.700975702
1340,1561771440,695657.0356744337
1341,1561772340,696560.7780519915
1342,1561773240,710273.126893089
1343,1561774140,731790.047353479
1344,1561775040,713526.0734415991
1345,1561775940,697111.0622056848
1346,1561776840,626624.1502546525
1347,1561777740,495257.31347883894
1348,1561778640,481108.1546803149
1349,1561779540,609502.9619405761
1350,1561780440,669128.3641785531
1351,1561781340,606502.4303401771
1352,1561782240,468659.25018457725
1353,1561783140,471099.9263703016
1354,1561784040,480571.9107875022
1355,1561784940,480333.26288829313
1356,1561785840,470716.046413994
1357,1561786740,472659.0888639946
1358,1561787640,471462.1392373902
1359,1561788540,503473.27609443973
1360,1561789440,486299.6803040301
1361,1561790340,476167.95375152864
1362,1561791240,459500.23790163285
1363,1561792140,494455.7623035253
1364,1561793040,487964.82680437685
1365,1561793940,459666.446354669
1366,1561794840,475157.1421480867
1367,1561795740,475438.1094811948
1368,1561796640,458645.441662463
1369,1561797540,465230.0688157266
1370,1561798440,453045.5385869349
1371,1561799340,478031.0628228853
1372,1561800240,482904.1589848422
1373,1561801140,464224.2466879725
1374,1561802040,481001.9801847372
1375,1561802940,489386.40791982744
1376,1561803840,457957.6542963778
1377,1561804740,450653.678867542
1378,1561805640,470283.8781896381
1379,1561806540,471409.4783762367
1380,1561807440,460209.85539565084
1381,1561808340,475826.28342281905
1382,1561809240,468136.5705387444
1383,1561810140,465329.5542808303
1384,1561811040,462717.559369277
1385,1561811940,468858.00559684297
1386,1561812840,475625.6633420081
1387,1561813740,457919.43242271856
1388,1561814640,467072.00794256147
1389,1561815540,478328.98527437076
1390,1561816440,476364.6449150454
1391,1561817340,466287.8359986992
1392,1561818240,435090.1805980125
1393,1561819140,423822.83791762416
1394,1561820040,412670.6160599272
1395,1561820940,403922.3546315072
1396,1561821840,388564.7264610579
1397,1561822740,381172.7034023961
1398,1561823640,308703.7045476224
1399,1561824540,349193.91026088956
1400,1561825440,388007.189338259
1401,1561826340,441123.53003575077
1402,1561827240,546478.628365229
1403,1561828140,669517.9484574795
1404,1561829040,653246.1387258878
1405,1561829940,670301.0925668315
1406,1561830840,667099.9290924532
1407,1561831740,785199.6738755986
1408,1561832640,726258.704922201
1409,1561833540,691682.3573494104
1410,1561834440,679402.2037639414
1411,1561835340,729117.0928449844
1412,1561836240,714072.6030586228
1413,1561837140,725090.0859175237
1414,1561838040,694159.1269013119
1415,1561838940,688188.0877689102
1416,1561839840,657717.4289939088
1417,1561840740,621445.0987039167
1418,1561841640,574218.8651745232
1419,1561842540,587393.115185633
1420,1561843440,562264.1686020612
1421,1561844340,531790.4944170342
1422,1561845240,484275.6161860173
1423,1561846140,568902.1306718037
1424,1561847040,531693.4612844888
1425,1561847940,509650.4665183878
1426,1561848840,481725.5231566695
1427,1561849740,494307.71699171525
1428,1561850640,521581.87188984855
1429,1561851540,377679.0168368691
1430,1561852440,404537.12929082854
1431,1561853340,490191.7497126818
1432,1561854240,599577.807379711
1433,1561855140,475598.96738117177
1434,1561856040,447440.8596480395
1435,1561856940,459797.4378275231
1436,1561857840,505764.62837086234
1437,1561858740,511039.250460793
1438,1561859640,519257.66088410973
1439,1561860540,521910.432273687
1440,1561861440,508668.1405813843
1441,1561862340,493382.27320443955
1442,1561863240,493208.99231811607
1443,1561864140,498801.6560568797
1444,1561865040,476404.12012332916
1445,1561865940,468974.03239254624
1446,1561866840,473052.2136882052
1447,1561867740,480116.8915675085
1448,1561868640,473583.6228974237
1449,1561869540,466684.4408434813
1450,1561870440,467838.5372970574
1451,1561871340,488752.02856711857
1452,1561872240,465971.29290008696
1453,1561873140,476232.32015165844
1454,1561874040,476035.1245505372
1455,1561874940,482161.5956730184
1456,1561875840,464451.8323757148
1457,1561876740,441467.3748042192
1458,1561877640,459690.78099597147
1459,1561878540,454456.97596172977
1460,1561879440,445791.9636116473
1461,1561880340,451532.0804637564
1462,1561881240,456107.1950945091
1463,1561882140,462146.7027580351
1464,1561883040,452801.17511850636
1465,1561883940,443563.9788442208
1466,1561884840,455002.03472250944
1467,1561885740,456875.6314424349
1468,1561886640,443466.5562605945
1469,1561887540,452771.9825104136
1470,1561888440,463587.95983663143
1471,1561889340,470182.0763807921
1472,1561890240,451085.46873603074
1473,1561891140,452487.18523976894
1474,1561892040,446582.2683633795
1475,1561892940,479107.2419183374
1476,1561893840,462893.81030152715
1477,1561894740,442512.0759137893
1478,1561895640,449865.6969024385
1479,1561896540,478934.3294236741
1480,1561897440,465735.52699077316
1481,1561898340,471066.4420808886
1482,1561899240,476054.75207084656
1483,1561900140,476524.63955176814
1484,1561901040,471947.83041841636
1485,1561901940,469967.38233076525
1486,1561902840,466902.0190083226
1487,1561903740,448415.4174537267
1488,1561904640,440653.807400315
1489,1561905540,412224.35738396936
1490,1561906440,416133.29064776975
1491,1561907340,400264.14820019377
1492,1561908240,378810.42177823035
1493,1561909140,370854.80265919026
1494,1561910040,308699.03364526073
1495,1561910940,357702.90532405913
1496,1561911840,391564.56578764954
1497,1561912740,440557.284141677
1498,1561913640,553560.366098052
1499,1561914540,661481.3655588093
1500,1561915440,656747.0062298632
1501,1561916340,657741.2709447441
1502,1561917240,664451.966737379
1503,1561918140,783261.1623216692
1504,1561919040,729067.2291777831
1505,1561919940,699546.9866766735
1506,1561920840,678515.8139025455
1507,1561921740,724370.1184379497
1508,1561922640,719317.3971946754
1509,1561923540,701972.6778548129
1510,1561924440,677587.8544204688
1511,1561925340,669397.9343034844
1512,1561926240,615595.0350845816
1513,1561927140,613891.1896139199
1514,1561928040,546495.8965863055
1515,1561928940,597209.4811461217
1516,1561929840,526693.2203884411
1517,1561930740,530350.6630950326
1518,1561931640,479238.2149814001
1519,1561932540,496529.31189065013
1520,1561933440,490215.314422583
1521,1561934340,499745.44461959676
1522,1561935240,450368.3137758116
1523,1561936140,368610.768226717
1524,1561937040,373804.1788238154
1525,1561937940,535883.9717095288
1526,1561938840,463655.86161077017
1527,1561939740,468727.7189327022
1528,1561940640,456854.0194968631
1529,1561941540,463940.4995419719
1530,1561942440,508717.2202933101
1531,1561943340,558916.6789307531
1532,1561944240,535277.3666327695
1533,1561945140,530493.2918868535
1534,1561946040,568796.6341665321
1535,1561946940,528134.9220774525
1536,1561947840,522472.84006147436
1537,1561948740,536326.6144165902
1538,1561949640,517020.25804403913
1539,1561950540,502669.14605263
1540,1561951440,487754.8292194607
1541,1561952340,467408.8188021615
1542,1561953240,449418.0839723149
1543,1561954140,464142.98527899105
1544,1561955040,463396.6955710722
1545,1561955940,455850.26725473994
1546,1561956840,463549.7212286542
1547,1561957740,467125.4512325647
1548,1561958640,480627.61150844436
1549,1561959540,461402.11625092855
1550,1561960440,459276.58659005654
1551,1561961340,450825.2539274853
1552,1561962240,454093.3770315756
1553,1561963140,480488.22568494163
1554,1561964040,495146.8084105853
1555,1561964940,497206.81563631084
1556,1561965840,433135.98027115565
1557,1561966740,444236.05921497557
1558,1561967640,443041.0493687082
1559,1561968540,476704.0853253591
1560,1561969440,476312.9001094873
1561,1561970340,443684.86403974955
1562,1561971240,465511.0962604869
1563,1561972140,486834.35517688503
1564,1561973040,505084.25781369244
1565,1561973940,459655.8097729403
1566,1561974840,488168.14732060133
1567,1561975740,473212.7248687272
1568,1561976640,467633.1811515019
1569,1561977540,452929.4778483376
1570,1561978440,458656.57270522846
1571,1561979340,438716.4774425682
1572,1561980240,454378.5314265539
1573,1561981140,438774.0763104441
1574,1561982040,472807.72826378705
1575,1561982940,479312.119489739
1576,1561983840,472685.0021129829
1577,1561984740,468479.68829055806
1578,1561985640,470909.605877556
1579,1561986540,484092.88819507667
1580,1561987440,466683.59724451666
1581,1561988340,456450.2347283819
1582,1561989240,466963.94899298064
1583,1561990140,487181.8035776791
1584,1561991040,469527.3759090504
1585,1561991940,463503.19974230026
1586,1561992840,473082.54473463655
1587,1561993740,444510.7957349386
1588,1561994640,404571.3928969269
1589,1561995540,389430.3091358207
1590,1561996440,343240.34651337255
1591,1561997340,380225.0380490266
1592,1561998240,391868.93742602214
1593,1561999140,382422.9465146803
1594,1562000040,487373.4560746916
1595,1562000940,600877.0199438281
1596,1562001840,598013.2919361865
1597,1562002740,570286.5202757751
1598,1562003640,594336.7578605735
1599,1562004540,684933.4451489436
1600,1562005440,659046.1842004257
1601,1562006340,591078.5220766217
1602,1562007240,595561.3473825104
1603,1562008140,629212.4613779985
1604,1562009040,669357.7492736015
1605,1562009940,644319.4327675129
1606,1562010840,660785.4167976653
1607,1562011740,658385.2180887911
1608,1562012640,677992.3868646665
1609,1562013540,645939.1143767752
1610,1562014440,623359.8974921844
1611,1562015340,619825.1726575681
1612,1562016240,611807.7750970542
1613,1562017140,614382.5467949114
1614,1562018040,595308.6286874824
1615,1562018940,604595.476982095
1616,1562019840,580379.7995108159
1617,1562020740,578500.3242353128
1618,1562021640,570143.8317112535
1619,1562022540,600948.0362442967
1620,1562023440,620695.2110242103
1621,1562024340,620236.0810964985
1622,1562025240,606017.5627486652
1623,1562026140,653732.7162190283
1624,1562027040,640274.0850031222
1625,1562027940,649759.7896225308
1626,1562028840,673416.2266406689
1627,1562029740,679392.163480119
1628,1562030640,673288.6793575453
1629,1562031540,657227.4556404913
1630,1562032440,635983.5577412858
1631,1562033340,628648.8536309835
1632,1562034240,666987.9132588742
1633,1562035140,779532.9383618826
1634,1562036040,745011.9170751129
1635,1562036940,701120.9957231603
1636,1562037840,668133.5073402984
1637,1562038740,670812.6386845879
1638,1562039640,669942.642288204
1639,1562040540,655506.2767720838
1640,1562041440,648216.217770139
1641,1562042340,671824.025812034
1642,1562043240,668237.0979717724
1643,1562044140,517233.5243734803
1644,1562045040,485670.69410621293
1645,1562045940,600994.8442381639
1646,1562046840,649800.7194401649
1647,1562047740,652263.3743416456
1648,1562048640,605277.0971265162
